Time [ms]:	File:	Number of lines:
171	o0233b.lode-6.txt	39994
124	o0233b.lode-7.txt	28298
152	o0233b.lode-8.txt	35274
368	o0234a.lode-1.txt	87403
492	o0234a.lode-2.txt	121647
584	o0234a.lode-3.txt	149468
906	o0234a.lode-4.txt	235553
541	o0234a.lode-5.txt	138503
133	o0234a.lode-6.txt	30825
129	o0234a.lode-7.txt	26249
171	o0234a.lode-8.txt	42324
274	o0234b.lode-1.txt	63310
369	o0234b.lode-2.txt	89325
436	o0234b.lode-3.txt	111039
667	o0234b.lode-4.txt	172275
450	o0234b.lode-5.txt	105427
139	o0234b.lode-6.txt	31207
158	o0234b.lode-7.txt	21880
110	o0234b.lode-8.txt	25476
291	o0235a.lode-1.txt	66187
364	o0235a.lode-2.txt	92511
521	o0235a.lode-3.txt	134001
984	o0235a.lode-4.txt	263159
781	o0235a.lode-5.txt	165095
137	o0235a.lode-6.txt	31545
80	o0235a.lode-7.txt	18402
117	o0235a.lode-8.txt	28098
362	o0235b.lode-1.txt	86186
458	o0235b.lode-2.txt	116328
590	o0235b.lode-3.txt	151082
881	o0235b.lode-4.txt	237185
614	o0235b.lode-5.txt	161906
208	o0235b.lode-6.txt	50762
127	o0235b.lode-7.txt	30844
144	o0235b.lode-8.txt	32494
293	o0236a.lode-1.txt	70345
392	o0236a.lode-2.txt	96027
511	o0236a.lode-3.txt	131464
876	o0236a.lode-4.txt	225697
595	o0236a.lode-5.txt	160430
186	o0236a.lode-6.txt	43582
105	o0236a.lode-7.txt	23306
134	o0236a.lode-8.txt	29309
186	o0237a.lode-1.txt	45015
259	o0237a.lode-2.txt	63787
316	o0237a.lode-3.txt	77576
478	o0237a.lode-4.txt	122775
349	o0237a.lode-5.txt	85103
106	o0237a.lode-6.txt	24920
89	o0237a.lode-7.txt	17062
106	o0237a.lode-8.txt	21953
381	o0238a.lode-1.txt	64135
363	o0238a.lode-2.txt	87054
509	o0238a.lode-3.txt	132264
1089	o0238a.lode-4.txt	289540
887	o0238a.lode-5.txt	235127
389	o0238a.lode-6.txt	95496
238	o0238a.lode-7.txt	53930
369	o0238a.lode-8.txt	57775
234	o0239a.lode-1.txt	54895
310	o0239a.lode-2.txt	75856
373	o0239a.lode-3.txt	92021
653	o0239a.lode-4.txt	167658
448	o0239a.lode-5.txt	110064
162	o0239a.lode-6.txt	37607
151	o0239a.lode-7.txt	35275
165	o0239a.lode-8.txt	41644
238	o0241a.lode-1.txt	58011
418	o0241a.lode-2.txt	82073
438	o0241a.lode-3.txt	109648
852	o0241a.lode-4.txt	228195
599	o0241a.lode-5.txt	157790
211	o0241a.lode-6.txt	50264
148	o0241a.lode-7.txt	32879
174	o0241a.lode-8.txt	42272
249	o0242a.lode-1.txt	61184
369	o0242a.lode-2.txt	88997
510	o0242a.lode-3.txt	126224
1076	o0242a.lode-4.txt	281935
728	o0242a.lode-5.txt	192863
257	o0242a.lode-6.txt	60202
159	o0242a.lode-7.txt	36746
204	o0242a.lode-8.txt	46555
245	o0244a.lode-1.txt	57891
342	o0244a.lode-2.txt	84786
426	o0244a.lode-3.txt	106634
912	o0244a.lode-4.txt	201058
575	o0244a.lode-5.txt	148069
290	o0244a.lode-6.txt	70105
239	o0244a.lode-7.txt	56313
242	o0244a.lode-8.txt	57776
278	o0245b.lode-1.txt	65344
368	o0245b.lode-2.txt	91455
582	o0245b.lode-3.txt	148368
1567	o0245b.lode-4.txt	388174
938	o0245b.lode-5.txt	248305
191	o0245b.lode-6.txt	46533
106	o0245b.lode-7.txt	26321
150	o0245b.lode-8.txt	34798
248	o0247b.lode-1.txt	59092
332	o0247b.lode-2.txt	79510
471	o0247b.lode-3.txt	121576
1290	o0247b.lode-4.txt	306523
736	o0247b.lode-5.txt	195873
174	o0247b.lode-6.txt	41109
138	o0247b.lode-7.txt	31545
223	o0247b.lode-8.txt	51949
299	o0248b.lode-1.txt	71965
418	o0248b.lode-2.txt	99978
754	o0248b.lode-3.txt	161877
1573	o0248b.lode-4.txt	421669
1025	o0248b.lode-5.txt	275101
213	o0248b.lode-6.txt	52919
156	o0248b.lode-7.txt	36429
263	o0248b.lode-8.txt	64577
349	o0262a.lode-1.txt	60098
347	o0262a.lode-2.txt	85536
503	o0262a.lode-3.txt	127696
1147	o0262a.lode-4.txt	307017
755	o0262a.lode-5.txt	199084
167	o0262a.lode-6.txt	39635
102	o0262a.lode-7.txt	22577
139	o0262a.lode-8.txt	33042
244	o0263a.lode-1.txt	58168
330	o0263a.lode-2.txt	82556
620	o0263a.lode-3.txt	134383
1316	o0263a.lode-4.txt	350522
894	o0263a.lode-5.txt	232127
177	o0263a.lode-6.txt	41765
101	o0263a.lode-7.txt	21727
157	o0263a.lode-8.txt	36266
211	o0264a.lode-1.txt	49367
279	o0264a.lode-2.txt	67313
528	o0264a.lode-3.txt	113401
1137	o0264a.lode-4.txt	304916
745	o0264a.lode-5.txt	198373
156	o0264a.lode-6.txt	36039
94	o0264a.lode-7.txt	19021
99	o0264a.lode-8.txt	24866
273	o0265a.lode-1.txt	64754
392	o0265a.lode-2.txt	94903
511	o0265a.lode-3.txt	128675
1062	o0265a.lode-4.txt	283941
764	o0265a.lode-5.txt	201447
220	o0265a.lode-6.txt	55376
133	o0265a.lode-7.txt	30966
159	o0265a.lode-8.txt	37986
319	o0266b.lode-1.txt	76237
529	o0266b.lode-2.txt	115477
482	o0266b.lode-3.txt	123546
672	o0266b.lode-4.txt	182717
524	o0266b.lode-5.txt	132416
278	o0266b.lode-6.txt	67246
285	o0266b.lode-7.txt	64447
302	o0266b.lode-8.txt	74622
320	o0267b.lode-1.txt	80127
453	o0267b.lode-2.txt	117022
588	o0267b.lode-3.txt	118115
564	o0267b.lode-4.txt	151092
420	o0267b.lode-5.txt	108128
249	o0267b.lode-6.txt	59824
244	o0267b.lode-7.txt	51906
258	o0267b.lode-8.txt	60350
291	o0268a.lode-1.txt	68203
412	o0268a.lode-2.txt	104034
624	o0268a.lode-3.txt	164331
1626	o0268a.lode-4.txt	420364
988	o0268a.lode-5.txt	265401
172	o0268a.lode-6.txt	41274
83	o0268a.lode-7.txt	20647
140	o0268a.lode-8.txt	32327
228	o0269a.lode-1.txt	53915
308	o0269a.lode-2.txt	75250
531	o0269a.lode-3.txt	114355
1052	o0269a.lode-4.txt	277386
681	o0269a.lode-5.txt	180729
176	o0269a.lode-6.txt	38431
108	o0269a.lode-7.txt	22746
137	o0269a.lode-8.txt	31063
344	o0269b.lode-1.txt	84052
476	o0269b.lode-2.txt	122711
631	o0269b.lode-3.txt	145340
975	o0269b.lode-4.txt	262689
676	o0269b.lode-5.txt	181203
261	o0269b.lode-6.txt	60759
198	o0269b.lode-7.txt	48969
264	o0269b.lode-8.txt	64372
339	o0270b.lode-1.txt	85493
520	o0270b.lode-2.txt	134552
604	o0270b.lode-3.txt	159671
1032	o0270b.lode-4.txt	274834
755	o0270b.lode-5.txt	201061
289	o0270b.lode-6.txt	69140
177	o0270b.lode-7.txt	45280
221	o0270b.lode-8.txt	52784
308	o0271a.lode-1.txt	74057
439	o0271a.lode-2.txt	111974
650	o0271a.lode-3.txt	147689
1163	o0271a.lode-4.txt	312750
763	o0271a.lode-5.txt	203673
180	o0271a.lode-6.txt	43679
115	o0271a.lode-7.txt	28514
172	o0271a.lode-8.txt	43012
305	o0272a.lode-1.txt	74349
435	o0272a.lode-2.txt	109365
604	o0272a.lode-3.txt	152473
1254	o0272a.lode-4.txt	337166
861	o0272a.lode-5.txt	235314
214	o0272a.lode-6.txt	51189
123	o0272a.lode-7.txt	27895
182	o0272a.lode-8.txt	44770
306	o0274b.lode-1.txt	76391
419	o0274b.lode-2.txt	107536
654	o0274b.lode-3.txt	172585
1445	o0274b.lode-4.txt	390843
979	o0274b.lode-5.txt	267250
204	o0274b.lode-6.txt	48545
96	o0274b.lode-7.txt	20313
118	o0274b.lode-8.txt	29246
363	o0276a.lode-1.txt	93340
506	o0276a.lode-2.txt	127825
686	o0276a.lode-3.txt	181062
1295	o0276a.lode-4.txt	345181
915	o0276a.lode-5.txt	227525
207	o0276a.lode-6.txt	49135
142	o0276a.lode-7.txt	32380
209	o0276a.lode-8.txt	49594
256	o0279a.lode-1.txt	61706
366	o0279a.lode-2.txt	92384
535	o0279a.lode-3.txt	137130
1287	o0279a.lode-4.txt	314293
844	o0279a.lode-5.txt	227855
270	o0279a.lode-6.txt	61573
144	o0279a.lode-7.txt	37400
208	o0279a.lode-8.txt	50047
298	o0279b.lode-1.txt	70379
433	o0279b.lode-2.txt	107445
664	o0279b.lode-3.txt	169477
1674	o0279b.lode-4.txt	428348
1145	o0279b.lode-5.txt	310480
290	o0279b.lode-6.txt	70453
123	o0279b.lode-7.txt	28311
135	o0279b.lode-8.txt	31131
220	o0280a.lode-1.txt	53345
317	o0280a.lode-2.txt	75580
384	o0280a.lode-3.txt	97764
730	o0280a.lode-4.txt	192129
504	o0280a.lode-5.txt	129288
173	o0280a.lode-6.txt	39737
149	o0280a.lode-7.txt	33392
231	o0280a.lode-8.txt	53845
240	o0281a.lode-1.txt	53776
326	o0281a.lode-2.txt	78866
506	o0281a.lode-3.txt	128998
1210	o0281a.lode-4.txt	316327
874	o0281a.lode-5.txt	231738
267	o0281a.lode-6.txt	64108
167	o0281a.lode-7.txt	41321
215	o0281a.lode-8.txt	52755
280	o0281b.lode-1.txt	66941
391	o0281b.lode-2.txt	98569
695	o0281b.lode-3.txt	148256
1342	o0281b.lode-4.txt	360832
894	o0281b.lode-5.txt	239576
178	o0281b.lode-6.txt	44886
111	o0281b.lode-7.txt	24131
166	o0281b.lode-8.txt	35639
320	o0283a.lode-1.txt	78448
511	o0283a.lode-2.txt	111138
532	o0283a.lode-3.txt	134075
867	o0283a.lode-4.txt	229499
584	o0283a.lode-5.txt	152286
206	o0283a.lode-6.txt	49032
177	o0283a.lode-7.txt	42488
277	o0283a.lode-8.txt	67521
244	o0283b.lode-1.txt	58811
332	o0283b.lode-2.txt	81329
619	o0283b.lode-3.txt	133897
1257	o0283b.lode-4.txt	346069
855	o0283b.lode-5.txt	231192
191	o0283b.lode-6.txt	45744
101	o0283b.lode-7.txt	22768
147	o0283b.lode-8.txt	33435
253	o0284a.lode-1.txt	62781
444	o0284a.lode-2.txt	91893
515	o0284a.lode-3.txt	134260
1109	o0284a.lode-4.txt	297895
827	o0284a.lode-5.txt	215665
299	o0284a.lode-6.txt	71969
176	o0284a.lode-7.txt	41473
221	o0284a.lode-8.txt	49722
270	o0284b.lode-1.txt	62421
456	o0284b.lode-2.txt	87840
633	o0284b.lode-3.txt	161068
1678	o0284b.lode-4.txt	452238
1086	o0284b.lode-5.txt	293329
186	o0284b.lode-6.txt	46854
111	o0284b.lode-7.txt	25827
226	o0284b.lode-8.txt	57248
228	o0285b.lode-1.txt	55491
325	o0285b.lode-2.txt	77935
514	o0285b.lode-3.txt	135167
1334	o0285b.lode-4.txt	359311
957	o0285b.lode-5.txt	241573
187	o0285b.lode-6.txt	43906
125	o0285b.lode-7.txt	28168
263	o0285b.lode-8.txt	62611
298	o0286b.lode-1.txt	71330
400	o0286b.lode-2.txt	101418
517	o0286b.lode-3.txt	133322
1026	o0286b.lode-4.txt	278280
893	o0286b.lode-5.txt	221028
371	o0286b.lode-6.txt	91794
258	o0286b.lode-7.txt	62051
306	o0286b.lode-8.txt	76499
261	o0287b.lode-1.txt	61978
359	o0287b.lode-2.txt	86986
614	o0287b.lode-3.txt	161890
1770	o0287b.lode-4.txt	454855
1102	o0287b.lode-5.txt	298850
226	o0287b.lode-6.txt	47562
134	o0287b.lode-7.txt	29880
280	o0287b.lode-8.txt	66742
305	o0288b.lode-1.txt	74427
399	o0288b.lode-2.txt	102137
576	o0288b.lode-3.txt	146628
1258	o0288b.lode-4.txt	339054
908	o0288b.lode-5.txt	244847
252	o0288b.lode-6.txt	63561
163	o0288b.lode-7.txt	40059
235	o0288b.lode-8.txt	56860
213	o0301a.lode-1.txt	50055
284	o0301a.lode-2.txt	67675
408	o0301a.lode-3.txt	105497
1024	o0301a.lode-4.txt	270259
653	o0301a.lode-5.txt	170259
155	o0301a.lode-6.txt	35628
111	o0301a.lode-7.txt	24555
160	o0301a.lode-8.txt	34123
244	o0302a.lode-1.txt	58422
332	o0302a.lode-2.txt	82641
484	o0302a.lode-3.txt	123658
1137	o0302a.lode-4.txt	299333
742	o0302a.lode-5.txt	191991
170	o0302a.lode-6.txt	42995
122	o0302a.lode-7.txt	26396
145	o0302a.lode-8.txt	32997
296	o0305a.lode-1.txt	69939
535	o0305a.lode-2.txt	101031
592	o0305a.lode-3.txt	146111
1282	o0305a.lode-4.txt	345353
868	o0305a.lode-5.txt	232511
188	o0305a.lode-6.txt	46480
114	o0305a.lode-7.txt	25267
160	o0305a.lode-8.txt	39737
403	o0305b.lode-1.txt	76439
434	o0305b.lode-2.txt	109420
522	o0305b.lode-3.txt	139730
1000	o0305b.lode-4.txt	267966
776	o0305b.lode-5.txt	207935
329	o0305b.lode-6.txt	81332
227	o0305b.lode-7.txt	54033
287	o0305b.lode-8.txt	67308
194	o0306a.lode-1.txt	46884
260	o0306a.lode-2.txt	63137
328	o0306a.lode-3.txt	80543
634	o0306a.lode-4.txt	163439
445	o0306a.lode-5.txt	110047
145	o0306a.lode-6.txt	32679
109	o0306a.lode-7.txt	22975
127	o0306a.lode-8.txt	31126
363	o0306b.lode-1.txt	87520
504	o0306b.lode-2.txt	126073
559	o0306b.lode-3.txt	139505
854	o0306b.lode-4.txt	225840
601	o0306b.lode-5.txt	154057
212	o0306b.lode-6.txt	48750
180	o0306b.lode-7.txt	41855
267	o0306b.lode-8.txt	61387
256	o0307a.lode-1.txt	58380
327	o0307a.lode-2.txt	80636
443	o0307a.lode-3.txt	108901
887	o0307a.lode-4.txt	241709
603	o0307a.lode-5.txt	150912
141	o0307a.lode-6.txt	33131
107	o0307a.lode-7.txt	24670
150	o0307a.lode-8.txt	33543
330	o0307b.lode-1.txt	82237
432	o0307b.lode-2.txt	109004
535	o0307b.lode-3.txt	136505
1133	o0307b.lode-4.txt	274263
649	o0307b.lode-5.txt	169698
160	o0307b.lode-6.txt	37260
145	o0307b.lode-7.txt	33134
206	o0307b.lode-8.txt	45940
235	o0308a.lode-1.txt	54805
334	o0308a.lode-2.txt	80791
559	o0308a.lode-3.txt	140899
1523	o0308a.lode-4.txt	379835
921	o0308a.lode-5.txt	246040
163	o0308a.lode-6.txt	37669
72	o0308a.lode-7.txt	17696
127	o0308a.lode-8.txt	29422
341	o0308b.lode-1.txt	84031
479	o0308b.lode-2.txt	119241
720	o0308b.lode-3.txt	169134
1429	o0308b.lode-4.txt	383817
1002	o0308b.lode-5.txt	263345
246	o0308b.lode-6.txt	57176
145	o0308b.lode-7.txt	32484
160	o0308b.lode-8.txt	41420
241	o0309a.lode-1.txt	54888
325	o0309a.lode-2.txt	76999
421	o0309a.lode-3.txt	106081
899	o0309a.lode-4.txt	237376
550	o0309a.lode-5.txt	144322
137	o0309a.lode-6.txt	29996
96	o0309a.lode-7.txt	22458
158	o0309a.lode-8.txt	36468
309	o0309b.lode-1.txt	74099
393	o0309b.lode-2.txt	99294
550	o0309b.lode-3.txt	125419
1043	o0309b.lode-4.txt	275366
654	o0309b.lode-5.txt	171743
166	o0309b.lode-6.txt	40321
132	o0309b.lode-7.txt	29356
154	o0309b.lode-8.txt	36277
688	o0310a.lode-5.txt	182897
155	o0310a.lode-6.txt	36850
301	o0310a.lode-7.txt	25022
192	o0310a.lode-8.txt	40892
756	o0311a.lode-5.txt	199888
179	o0311a.lode-6.txt	42263
124	o0311a.lode-7.txt	28755
202	o0311a.lode-8.txt	47439
561	o0311b.lode-5.txt	145518
235	o0311b.lode-6.txt	56739
209	o0311b.lode-7.txt	47556
236	o0311b.lode-8.txt	59500
916	o0312a.lode-5.txt	246025
208	o0312a.lode-6.txt	50584
153	o0312a.lode-7.txt	36056
243	o0312a.lode-8.txt	57546
548	o0312b.lode-5.txt	142245
135	o0312b.lode-6.txt	31890
105	o0312b.lode-7.txt	23530
130	o0312b.lode-8.txt	28841
752	o0313a.lode-5.txt	195297
171	o0313a.lode-6.txt	42279
155	o0313a.lode-7.txt	34224
220	o0313a.lode-8.txt	55477
453	o0313b.lode-5.txt	115208
87	o0313b.lode-6.txt	20394
55	o0313b.lode-7.txt	11402
61	o0313b.lode-8.txt	13209
418	o0314a.lode-5.txt	107631
110	o0314a.lode-6.txt	23003
80	o0314a.lode-7.txt	14877
104	o0314a.lode-8.txt	18424
139	o0315a.lode-5.txt	32405
59	o0315a.lode-6.txt	11060
70	o0315a.lode-7.txt	9553
63	o0315a.lode-8.txt	10169
298	o0326b.lode-1.txt	70411
391	o0326b.lode-2.txt	99106
526	o0326b.lode-3.txt	136108
1260	o0326b.lode-4.txt	302083
755	o0326b.lode-5.txt	203816
220	o0326b.lode-6.txt	50866
170	o0326b.lode-7.txt	39404
284	o0326b.lode-8.txt	67393
406	o0328b.lode-1.txt	98595
723	o0328b.lode-2.txt	139911
710	o0328b.lode-3.txt	179746
1411	o0328b.lode-4.txt	364862
888	o0328b.lode-5.txt	237478
234	o0328b.lode-6.txt	52501
193	o0328b.lode-7.txt	48559
365	o0328b.lode-8.txt	88216
215	o0341a.lode-1.txt	50990
274	o0341a.lode-2.txt	65190
393	o0341a.lode-3.txt	95686
916	o0341a.lode-4.txt	225373
548	o0341a.lode-5.txt	142131
135	o0341a.lode-6.txt	33232
125	o0341a.lode-7.txt	27477
180	o0341a.lode-8.txt	43485
283	o0342a.lode-1.txt	42545
222	o0342a.lode-2.txt	54050
304	o0342a.lode-3.txt	71683
583	o0342a.lode-4.txt	153926
380	o0342a.lode-5.txt	95942
128	o0342a.lode-6.txt	28822
106	o0342a.lode-7.txt	23814
143	o0342a.lode-8.txt	31247
212	o0344a.lode-1.txt	50966
278	o0344a.lode-2.txt	64420
377	o0344a.lode-3.txt	86104
800	o0344a.lode-4.txt	184394
459	o0344a.lode-5.txt	117969
141	o0344a.lode-6.txt	32361
122	o0344a.lode-7.txt	26697
171	o0344a.lode-8.txt	38625
354	o0344b.lode-1.txt	88570
490	o0344b.lode-2.txt	121867
598	o0344b.lode-3.txt	156039
1309	o0344b.lode-4.txt	306509
745	o0344b.lode-5.txt	196472
205	o0344b.lode-6.txt	47698
180	o0344b.lode-7.txt	36664
212	o0344b.lode-8.txt	49428
202	o0345a.lode-1.txt	48131
257	o0345a.lode-2.txt	61226
330	o0345a.lode-3.txt	76518
590	o0345a.lode-4.txt	148794
383	o0345a.lode-5.txt	92982
237	o0345a.lode-6.txt	28777
101	o0345a.lode-7.txt	26340
175	o0345a.lode-8.txt	42631
352	o0345b.lode-1.txt	81067
453	o0345b.lode-2.txt	112270
517	o0345b.lode-3.txt	129560
878	o0345b.lode-4.txt	227347
617	o0345b.lode-5.txt	161784
207	o0345b.lode-6.txt	48439
163	o0345b.lode-7.txt	35573
299	o0345b.lode-8.txt	46283
210	o0346a.lode-1.txt	48605
256	o0346a.lode-2.txt	60059
332	o0346a.lode-3.txt	80243
701	o0346a.lode-4.txt	176283
456	o0346a.lode-5.txt	116488
128	o0346a.lode-6.txt	29929
110	o0346a.lode-7.txt	24219
123	o0346a.lode-8.txt	30200
194	o0347a.lode-1.txt	46028
242	o0347a.lode-2.txt	54798
404	o0347a.lode-3.txt	71392
596	o0347a.lode-4.txt	143911
364	o0347a.lode-5.txt	91053
134	o0347a.lode-6.txt	29492
108	o0347a.lode-7.txt	24869
142	o0347a.lode-8.txt	33656
347	o0347b.lode-1.txt	81570
448	o0347b.lode-2.txt	109011
561	o0347b.lode-3.txt	146590
1279	o0347b.lode-4.txt	308568
757	o0347b.lode-5.txt	197117
206	o0347b.lode-6.txt	47781
152	o0347b.lode-7.txt	34518
162	o0347b.lode-8.txt	41763
218	o0348a.lode-1.txt	50150
295	o0348a.lode-2.txt	66690
303	o0348a.lode-3.txt	73495
468	o0348a.lode-4.txt	118943
452	o0348a.lode-5.txt	72047
121	o0348a.lode-6.txt	26783
124	o0348a.lode-7.txt	26801
180	o0348a.lode-8.txt	42237
290	o0348b.lode-1.txt	68581
364	o0348b.lode-2.txt	86518
390	o0348b.lode-3.txt	93514
575	o0348b.lode-4.txt	145336
380	o0348b.lode-5.txt	94618
156	o0348b.lode-6.txt	35634
154	o0348b.lode-7.txt	34741
208	o0348b.lode-8.txt	48310
513	o0349a.lode-3.txt	131093
171	o0349a.lode-6.txt	40596
136	o0349a.lode-7.txt	30358
151	o0349a.lode-8.txt	38658
488	o0350a.lode-3.txt	121518
193	o0350a.lode-6.txt	42693
141	o0350a.lode-7.txt	31299
208	o0350a.lode-8.txt	49493
817	o0350b.lode-3.txt	218719
265	o0350b.lode-6.txt	61051
192	o0350b.lode-7.txt	42957
261	o0350b.lode-8.txt	63472
406	o0351a.lode-3.txt	102959
167	o0351a.lode-6.txt	38305
154	o0351a.lode-7.txt	35917
238	o0351a.lode-8.txt	54648
355	o0351b.lode-3.txt	85443
148	o0351b.lode-6.txt	33319
130	o0351b.lode-7.txt	30593
181	o0351b.lode-8.txt	40228
804	o0352a.lode-3.txt	206319
251	o0352a.lode-6.txt	56453
152	o0352a.lode-7.txt	37163
248	o0352a.lode-8.txt	55242
438	o0352b.lode-3.txt	111324
172	o0352b.lode-6.txt	40762
165	o0352b.lode-7.txt	38307
212	o0352b.lode-8.txt	50066
558	o0353a.lode-3.txt	137572
166	o0353a.lode-6.txt	41313
163	o0353a.lode-7.txt	36934
235	o0353a.lode-8.txt	52960
317	o0354a.lode-1.txt	74477
522	o0354a.lode-2.txt	99277
514	o0354a.lode-3.txt	127542
817	o0354a.lode-4.txt	212332
519	o0354a.lode-5.txt	133119
148	o0354a.lode-6.txt	35160
122	o0354a.lode-7.txt	27247
185	o0354a.lode-8.txt	43600
829	o0355a.lode-3.txt	213521
220	o0355a.lode-6.txt	50801
162	o0355a.lode-7.txt	36400
262	o0355a.lode-8.txt	60124
504	o0359a.lode-3.txt	126303
233	o0359a.lode-6.txt	56655
196	o0359a.lode-7.txt	46974
270	o0359a.lode-8.txt	67990
290	o0360a.lode-1.txt	70868
393	o0360a.lode-2.txt	95547
551	o0360a.lode-3.txt	136550
1291	o0360a.lode-4.txt	314604
779	o0360a.lode-5.txt	202240
190	o0360a.lode-6.txt	46198
141	o0360a.lode-7.txt	32047
186	o0360a.lode-8.txt	42112
324	o0360b.lode-1.txt	79567
450	o0360b.lode-2.txt	109580
594	o0360b.lode-3.txt	155578
1324	o0360b.lode-4.txt	356722
881	o0360b.lode-5.txt	227118
194	o0360b.lode-6.txt	46385
128	o0360b.lode-7.txt	32062
185	o0360b.lode-8.txt	42859
299	o0361a.lode-1.txt	69156
506	o0361a.lode-2.txt	95745
455	o0361a.lode-3.txt	109917
755	o0361a.lode-4.txt	191659
522	o0361a.lode-5.txt	134316
189	o0361a.lode-6.txt	46355
150	o0361a.lode-7.txt	37798
221	o0361a.lode-8.txt	52712
249	o0361b.lode-1.txt	57841
304	o0361b.lode-2.txt	72817
386	o0361b.lode-3.txt	92362
721	o0361b.lode-4.txt	188877
445	o0361b.lode-5.txt	113381
137	o0361b.lode-6.txt	35755
145	o0361b.lode-7.txt	30720
170	o0361b.lode-8.txt	42785
299	o0362a.lode-1.txt	71116
393	o0362a.lode-2.txt	99069
431	o0362a.lode-3.txt	109669
686	o0362a.lode-4.txt	175782
523	o0362a.lode-5.txt	130818
231	o0362a.lode-6.txt	53983
187	o0362a.lode-7.txt	44727
235	o0362a.lode-8.txt	59657
255	o0364b.lode-1.txt	59160
296	o0364b.lode-2.txt	74982
373	o0364b.lode-3.txt	93344
656	o0364b.lode-4.txt	173952
456	o0364b.lode-5.txt	109219
296	o0364b.lode-6.txt	37264
155	o0364b.lode-7.txt	37449
288	o0364b.lode-8.txt	68927
241	o0365b.lode-1.txt	57908
321	o0365b.lode-2.txt	73155
357	o0365b.lode-3.txt	90197
684	o0365b.lode-4.txt	179509
449	o0365b.lode-5.txt	117560
140	o0365b.lode-6.txt	36258
155	o0365b.lode-7.txt	34025
196	o0365b.lode-8.txt	49908
457	o0367b.lode-1.txt	83225
516	o0367b.lode-2.txt	113331
522	o0367b.lode-3.txt	129661
897	o0367b.lode-4.txt	223047
542	o0367b.lode-5.txt	144552
212	o0367b.lode-6.txt	47854
235	o0367b.lode-7.txt	57079
458	o0367b.lode-8.txt	119825
245	o0381a.lode-1.txt	57946
313	o0381a.lode-2.txt	75827
465	o0381a.lode-3.txt	119409
1127	o0381a.lode-4.txt	305164
751	o0381a.lode-5.txt	191654
169	o0381a.lode-6.txt	38955
126	o0381a.lode-7.txt	27760
299	o0381a.lode-8.txt	40116
495	o0381b.lode-1.txt	117954
701	o0381b.lode-2.txt	179337
686	o0381b.lode-3.txt	174717
791	o0381b.lode-4.txt	208887
591	o0381b.lode-5.txt	154965
266	o0381b.lode-6.txt	63176
227	o0381b.lode-7.txt	53828
277	o0381b.lode-8.txt	66731
206	o0382a.lode-1.txt	50634
271	o0382a.lode-2.txt	63927
447	o0382a.lode-3.txt	97928
910	o0382a.lode-4.txt	244161
591	o0382a.lode-5.txt	154111
156	o0382a.lode-6.txt	35865
112	o0382a.lode-7.txt	25484
277	o0382a.lode-8.txt	38612
362	o0382b.lode-1.txt	89316
494	o0382b.lode-2.txt	125820
604	o0382b.lode-3.txt	159348
1155	o0382b.lode-4.txt	317401
850	o0382b.lode-5.txt	223295
331	o0382b.lode-6.txt	59136
148	o0382b.lode-7.txt	38151
213	o0382b.lode-8.txt	49103
265	o0383a.lode-1.txt	63284
341	o0383a.lode-2.txt	85988
569	o0383a.lode-3.txt	144592
1504	o0383a.lode-4.txt	383566
971	o0383a.lode-5.txt	240763
212	o0383a.lode-6.txt	42320
127	o0383a.lode-7.txt	25511
153	o0383a.lode-8.txt	35361
351	o0383b.lode-1.txt	85620
474	o0383b.lode-2.txt	119394
571	o0383b.lode-3.txt	132005
812	o0383b.lode-4.txt	213932
658	o0383b.lode-5.txt	142093
206	o0383b.lode-6.txt	47014
176	o0383b.lode-7.txt	39378
212	o0383b.lode-8.txt	51360
274	o0384a.lode-1.txt	65752
383	o0384a.lode-2.txt	88733
548	o0384a.lode-3.txt	131329
1234	o0384a.lode-4.txt	319880
874	o0384a.lode-5.txt	199298
159	o0384a.lode-6.txt	38263
117	o0384a.lode-7.txt	27834
170	o0384a.lode-8.txt	39821
340	o0384b.lode-1.txt	84258
470	o0384b.lode-2.txt	116078
558	o0384b.lode-3.txt	143634
1034	o0384b.lode-4.txt	273039
798	o0384b.lode-5.txt	179433
195	o0384b.lode-6.txt	45597
151	o0384b.lode-7.txt	36168
221	o0384b.lode-8.txt	52601
257	o0386a.lode-1.txt	59940
343	o0386a.lode-2.txt	81306
496	o0386a.lode-3.txt	121009
1084	o0386a.lode-4.txt	292332
827	o0386a.lode-5.txt	181096
149	o0386a.lode-6.txt	35420
120	o0386a.lode-7.txt	25491
140	o0386a.lode-8.txt	31272
313	o0386b.lode-1.txt	78877
410	o0386b.lode-2.txt	103221
518	o0386b.lode-3.txt	130560
947	o0386b.lode-4.txt	255716
772	o0386b.lode-5.txt	172308
218	o0386b.lode-6.txt	53308
175	o0386b.lode-7.txt	40218
217	o0386b.lode-8.txt	53521
245	o0387a.lode-1.txt	56425
304	o0387a.lode-2.txt	71308
412	o0387a.lode-3.txt	105136
946	o0387a.lode-4.txt	250859
676	o0387a.lode-5.txt	157463
155	o0387a.lode-6.txt	33811
115	o0387a.lode-7.txt	25754
160	o0387a.lode-8.txt	38175
316	o0387b.lode-1.txt	75839
413	o0387b.lode-2.txt	99552
524	o0387b.lode-3.txt	134547
1095	o0387b.lode-4.txt	287099
842	o0387b.lode-5.txt	180518
174	o0387b.lode-6.txt	43637
